PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;6823987301;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;11.07.2020;12375;ТСЦ 6845;ЗАЗ;FORZA;2011;БЕЖЕВИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК-В;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1497;1320;1575;ВХ9621ЕН
P;1821155400;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);27.10.2020;12290;ТСЦ 8041;HYUNDAI;TUCSON;2007;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1975;1200;2210;АМ0768ЕО
P;3221810100;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;21.05.2020;12293;ТСЦ 8044;MITSUBISHI;ASX;2012;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;1798;1390;1870;АІ4021КО
P;4625510100;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);08.07.2020;12338;ТСЦ 5642;БАЗ;А079.24;2008;БЕЖЕВИЙ;АВТОБУС;АВТОБУС-D;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;5675;5540;7730;ВС5640КХ
P;8036300000;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;15.03.2020;12295;ТСЦ 8046;VOLKSWAGEN;PASSAT;2012;БІЛИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1798;1250;1650;КА4463АС
P;1810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);18.06.2020;12295;ТСЦ 8046;VOLKSWAGEN;PASSAT;2012;БІЛИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1798;1250;1650;АМ3898ЕІ
P;5110136900;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;25.02.2020;12321;ТСЦ 5141;TOYOTA;RAV4;2012;БІЛИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;1987;1505;2110;ВН4990КТ
P;6822483302;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);17.07.2020;12373;ТСЦ 6843;ГАЗ;5312;1992;ЗЕЛЕНИЙ;ВАНТАЖНИЙ;БОРТОВИЙ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;4250;3930;7400;ВХ3240ЕІ
P;3510100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);17.07.2020;12394;ТСЦ 3544;KIA;RIO;2007;СІРИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1399;1221;1650;ВА3607ЕН
P;6825085201;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);14.02.2020;12371;ТСЦ 6841;FIAT;DOBLO;2008;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1248;1345;2000;ВХ9771СТ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;30.12.2020;12371;ТСЦ 6841;PEUGEOT;508;2011;СІРИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1410;2015;ВХ0234ЕО
P;8038500000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;16.07.2020;12292;ТСЦ 8043;MITSUBISHI;PAJERO SPORT;2012;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2477;2090;2710;АА0701ХХ
P;8038500000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);20.11.2020;12384;ТСЦ 7442;LAND ROVER;RANGE ROVER SPORT;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;4999;2701;3125;КА2399ВС
P;4810300000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);02.01.2020;12315;ТСЦ 4841;DAF;CF 85.410;2008;БІЛИЙ;ВАНТАЖНИЙ;СІДЛОВИЙ ТЯГАЧ-E;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;12902;8190;19000;ВЕ8710СХ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;18.07.2020;12372;ТСЦ 6842;ЗАЗ;110308-44;2010;СИНІЙ;ЛЕГКОВИЙ;ХЕТЧБЕК-В;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1299;890;1100;ВХ2793ЕІ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;29.12.2020;12271;ТСЦ 2345;OPEL;VIVARO;2006;ОРАНЖЕВИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1995;1753;2770;АР7622ІВ
P;5322885201;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;25.01.2020;12377;ТСЦ 7141;GEELY;CK;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1498;1052;1480;ВІ2540ЕН
P;7325010100;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;16.01.2020;12388;ТСЦ 7341;AUDI;A7 ;2011;ЧОРНИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК-В;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2967;1860;2395;СЕ0080СА
P;8038200000;254;НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ;06.10.2020;12292;ТСЦ 8043;PORSCHE;CAYENNE;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;4806;2065;2998;АА5558РА
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;26.11.2020;12380;ТСЦ 7144;FIAT;DOBLO;2004;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1910;1330;1905;СА4339ІВ
