PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;VIN;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;31.07.2021;12294;ТСЦ 8045;HONDA;ACCORD;JHMCU2650CC206895;2011;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;2354;1602;2030;КА8771ЕВ
P;1221855800;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);17.07.2021;12537;ТСЦ 1248;MITSUBISHI;ASX;JMBXTGA3WCZ005041;2012;СИНІЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1798;1390;1970;АЕ0992РА
P;8036100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;06.04.2021;13960;ТСЦ 8048;TOYOTA;COROLLA;JTNBV56E70J182361;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1250;1760;КА5612СА
P;3510100000;310;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУП.-ПРОД.ТА ІНШ.(ОФОРМ.НОТАРІАЛЬНО );19.02.2021;12290;ТСЦ 8041;LAND ROVER;DISCOVERY;SALLAAAF4CA632784;2012;СИНІЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2993;2643;3240;ВА2719СО
P;1210136300;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);05.01.2021;12307;ТСЦ 4641;RENAULT;PREMIUM 420;VF622AVA000108852;2006;ЧЕРВОНИЙ;ВАНТАЖНИЙ;ПЛАТФОРМА;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;11116;9110;19000;АЕ6570ОР
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);06.02.2021;12371;ТСЦ 6841;FORD;MONDEO;WF0DXXGBBDBY29384;2011;БІЛИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1976;1620;2200;ВХ5549ЕМ
P;6824484001;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);03.04.2021;12374;ТСЦ 6844;KIA;SPORTAGE;U5YPB811BCL171980;2012;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1998;1505;1980;ВХ3237ЕО
P;5924782201;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);21.07.2021;12347;ТСЦ 5946;DAEWOO;MATIZ;XWB4A11EDCA027556;2012;ЗЕЛЕНИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;796;750;1100;ВМ4606СО
P;524310100;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;21.07.2021;12232;ТСЦ 0544;TOYOTA;AURIS;NMTKV56E80R098829;2012;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1275;1750;АВ2888ЕІ
P;6825280501;340;ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ АНКЕТНИХ ДАНИХ ВЛАСНИКА(БЕЗ ЗМІНИ РЕГІОНУ РЕЄСТРАЦІЇ);08.01.2021;12373;ТСЦ 6843;OPEL;COMBO;W0L0XCF2584078463;2007;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1248;1240;2020;ВХ4764ЕО
P;2124888001;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;27.01.2021;12261;ТСЦ 2141;MITSUBISHI;LANCER;JMBSRCY1ACU002008;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1590;1275;1750;АО8081ЕТ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;17.04.2021;12294;ТСЦ 8045;AUDI;Q5;WA1LFAFP6BA084760;2011;БІЛИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1984;1819;2320;КА8673СЕ
P;4610137500;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);14.04.2021;12307;ТСЦ 4641;PEUGEOT;EXPERT;VF3XV9HUC64026941;2008;СІРИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1560;1780;2900;ВС7350МІ
P;4412900000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;27.07.2021;12374;ТСЦ 6844;FIAT;DOBLO;ZFA22300005221124;2004;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1910;1285;1785;ВХ5806ЕТ
P;6810100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;28.01.2021;12375;ТСЦ 6845;OPEL;VIVARO;W0LF7BHA67V627386;2007;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1995;1759;2700;ВХ5836ЕО
P;6810400000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;23.04.2021;12373;ТСЦ 6843;OPEL;VECTRA;W0L000087NV206616;1992;ЧЕРВОНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1998;1169;1645;ВХ8906ЕР
P;3221810100;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;19.05.2021;12284;ТСЦ 3245;TOYOTA;RAV4;JTMBE31V40D087920;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1987;1500;2110;АІ1168ММ
P;;400;ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ;02.02.2021;12292;ТСЦ 8043;TOYOTA;CAMRY;JTNBF4FK503015398;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;2494;1485;2100;АА3553ОА
P;5622681201;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;19.03.2021;12375;ТСЦ 6845;FIAT;DOBLO;ZFA22300005173477;2004;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1910;1262;2115;ВК7663НС
P;6120884901;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);23.01.2021;12373;ТСЦ 6843;OPEL;VIVARO;W0LF7BHC67Y723113;2007;СІРИЙ;ВАНТАЖНИЙ;ФУРГОН МАЛОТОНАЖНИЙ;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1995;1835;2920;ВО4030СВ
P;6823684001;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;26.01.2021;12294;ТСЦ 8045;HYUNDAI;ELANTRA;KMHDG41CBCU409889;2012;БЕЖЕВИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1591;1305;1800;ВХ6844ЕМ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);05.06.2021;12371;ТСЦ 6841;HYUNDAI;IX35;TMAJT81BDCJ249819;2011;СИНІЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1998;1512;2030;ВХ4328ЕМ
P;7110100000;560;ЗНЯТТЯ З ОБЛІКУ ПРИ ПОВЕРНЕННІ ІЗ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ.;30.07.2021;12377;ТСЦ 7141;VOLKSWAGEN;PASSAT;WVWZZZ3CZCE150566;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1798;1418;1950;СА7630ІЕ
P;8039100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;27.05.2021;12292;ТСЦ 8043;KIA;MAGENTIS;Y6LGE22739L201132;2008;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1998;1400;1850;КА7500ВХ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);13.07.2021;12257;ТСЦ 1844;MERCEDES-BENZ;ATEGO 817L;WDB9700252K962485;2005;СІРИЙ;ВАНТАЖНИЙ;ПЛАТФОРМА;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;4250;4800;7490;АМ2024ЕХ
P;2124086901;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);23.07.2021;12262;ТСЦ 2142;RENAULT;TRAFIC;VF1FLAMA67Y209244;2007;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1995;1770;2770;АО9378ЕО
P;8036300000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;12.02.2021;12294;ТСЦ 8045;CITROEN;DS5;VF7KF5FEACS514884;2012;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1495;2025;КА3547СО
P;1810400000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);21.05.2021;12255;ТСЦ 1842;DAEWOO;NEXIA;XWB3K32EDCA228444;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1598;980;1460;АМ2236ЕХ
P;;340;ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ АНКЕТНИХ ДАНИХ ВЛАСНИКА(БЕЗ ЗМІНИ РЕГІОНУ РЕЄСТРАЦІЇ);13.01.2021;12248;ТСЦ 1441;VOLKSWAGEN;POLO;XW8ZZZ61ZCG045926;2012;БІЛИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1130;1610;АН5065КН
P;6310138200;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);21.01.2021;12371;ТСЦ 6841;MAN;TGA 18.400;WMAH06ZZ37M468446;2006;СИНІЙ;ВАНТАЖНИЙ;СІДЛОВИЙ ТЯГАЧ;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;10518;7070;18000;АХ3474КС
P;5111700000;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;27.05.2021;12322;ТСЦ 5142;MITSUBISHI;PAJERO;JMYLRV93W8J730522;2008;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;2972;2086;2685;ВН0108ОІ
P;8036400000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;17.02.2021;12238;ТСЦ 0744;KIA;CERATO;KNEFE222265281971;2006;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1599;1290;1720;АА2438ТХ
P;6824486002;440;ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ;03.03.2021;12374;ТСЦ 6844;VOLKSWAGEN;TRANSPORTER;WV1ZZZ70ZYH065131;1999;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2461;1625;3025;ВХ6962ВН
P;1822587301;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;12.05.2021;12282;ТСЦ 3243;NISSAN;NOTE;SJNFCAE11U1072010;2006;ЖОВТИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1120;1580;АІ1334МТ
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);25.02.2021;12371;ТСЦ 6841;TOYOTA;YARIS;VNKKJ0D360A087463;2012;БІЛИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1329;1055;1480;ВХ0404АТ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);09.07.2021;12276;ТСЦ 2641;PEUGEOT;EXPERT;VF3BZWJYB86191276;2005;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1868;1429;2205;АТ9511ЕМ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);04.02.2021;12338;ТСЦ 5642;RENAULT;DUSTER;VF1HSRAW547696694;2012;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1461;1180;1710;ВС7846ММ
P;6825083601;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);05.01.2021;12371;ТСЦ 6841;MITSUBISHI;PAJERO;JMYLRV93W8J726025;2008;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;2972;2300;2850;ВХ0360ЕК
P;1410138300;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;07.07.2021;12296;ТСЦ 8047;FORD;MONDEO;WF0DXXGBBDCA65866;2012;БІЛИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1596;1633;2050;КА3778СТ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;28.01.2021;12375;ТСЦ 6845;DAEWOO;LANOS;Y6DTF69YD5W242039;2005;ЗЕЛЕНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1498;1010;1595;АМ4284ЕР
