PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;VIN;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;3510100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);23.07.2021;12298;ТСЦ 3541;SKODA;OCTAVIA A5;TMBCN41Z9DB150363;2012;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1968;1355;2015;ВА4869СС
P;8036100000;340;ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ АНКЕТНИХ ДАНИХ ВЛАСНИКА(БЕЗ ЗМІНИ РЕГІОНУ РЕЄСТРАЦІЇ);16.01.2021;12290;ТСЦ 8041;KIA;RIO;Z94CB41ABCR067643;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1396;1218;1565;АА0302ХМ
P;8036400000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;13.04.2021;12294;ТСЦ 8045;OPEL;ASTRA;W0L0AHL48C2111192;2012;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1260;1765;КА1335СІ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);10.07.2021;12296;ТСЦ 8047;DAF;CF 85.430;XLRTE85XC0E640340;2004;БІЛИЙ;ВАНТАЖНИЙ;СІДЛОВИЙ ТЯГАЧ;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;12600;8000;18000;КА4134СТ
P;2323081801;250;ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ ЧИ ІНШОГО ДОКУМ.ПРАВОКОРИСТУВАННЯ ;22.05.2021;12269;ТСЦ 2343;CHEVROLET;LACETTI;KL1NF1961CK713652;2012;СИНІЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1598;1297;1660;АР1230ЕХ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;17.06.2021;12351;ТСЦ 6143;MERCEDES-BENZ;GL 350 CDI;WDC1648221A654282;2010;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2987;2450;3250;ВО6456СТ
P;6124655100;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;04.06.2021;12349;ТСЦ 6141;CITROEN;JUMPY;VF7BTWJYB86189203;2005;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1868;1520;2205;ВО5307СТ
P;2110100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);17.07.2021;12261;ТСЦ 2141;FORD;TRANSIT;WF0XXXTTFX8A50905;2008;БІЛИЙ;ВАНТАЖНИЙ;ФУРГОН;СПЕЦІАЛІЗОВАНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2402;2077;4300;АО7613СН
P;7121210100;540;ЗНЯТТЯ З ОБЛIКУ У ЗВ`ЯЗКУ З ВИБРАКОВКОЮ;15.07.2021;12379;ТСЦ 7143;IDEAL;CH 7111B;LKCAA2AC28H824042;2008;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1075;900;1350;
P;6325455600;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;19.05.2021;12249;ТСЦ 1442;MERCEDES-BENZ;C230;WDD2040521F077501;2007;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;2496;1180;1650;АН0235ОМ
P;6810700000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;20.07.2021;12375;ТСЦ 6845;VOLKSWAGEN;PASSAT;WVWZZZ3BZ2E204670;2002;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1781;1250;1650;ВХ4204ЕТ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;12.02.2021;12251;ТСЦ 1444;OPEL;MOVANO;VN1F9CCL523707973;2001;БІЛИЙ;ЛЕГКОВИЙ;ВАНТАЖОПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2799;1940;3500;АЕ2050ОК
P;6810800000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);28.04.2021;12374;ТСЦ 6844;VOLVO;XC60;YV1DZ8756D2369919;2012;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2400;1897;2500;ВХ9798ВЕ
P;7410100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;31.07.2021;12383;ТСЦ 7441;FIAT;DOBLO;ZFA22300005119388;2004;ЖОВТИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1910;1295;1905;СВ9029ЕА
P;8038600000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);03.04.2021;12290;ТСЦ 8041;VOLKSWAGEN;POLO;WVWZZZ6RZCY177122;2012;БІЛИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1390;1029;1620;КА3987СВ
P;;440;ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ;31.03.2021;12294;ТСЦ 8045;HONDA;CR-V;5J6RM4H71CL041772;2012;БІЛИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;2354;1720;2070;АА4476ХК
P;7122083901;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;27.01.2021;12377;ТСЦ 7141;HYUNDAI;IX35;U5YZU81BDBL052215;2010;БІЛИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1998;1455;1980;СА7785ІВ
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);12.05.2021;12326;ТСЦ 5147;BMW;K1600GTL;WB1060108CZY46256;2012;СІРИЙ;МОТОЦИКЛ;МОТОЦИКЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1650;332;510;ВН1188АС
P;4610137500;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;16.04.2021;12313;ТСЦ 4647;HYUNDAI;ACCENT;Z94CU41DBCR139003;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1591;1160;1570;ВС3801ММ
P;;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;24.07.2021;12377;ТСЦ 7141;FORD;FIESTA;WF0JXXGAJJCD32373;2012;ЧЕРВОНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1399;1241;1500;СА9244ІЕ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;29.07.2021;12381;ТСЦ 7145;DAEWOO;NEXIA;XWB3L32EDCA222520;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1498;1016;1480;СА5789ІА
P;7110300000;440;ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ;26.02.2021;12381;ТСЦ 7145;TRAILOR;SYY 3CX;VFNSYY3CPX0001438;1999;ЧЕРВОНИЙ;НАПІВПРИЧІП;Н/ПР-БОРТОВИЙ;ЗАГАЛЬНИЙ;;;7250;34500;СА7823ХМ
